bin_packing.R, 2.990736, 2.990292
binary-trees.R, 1.1237219999999999, 0.27349999999999997
randomForest.R, 0.27303599999999995, 0.259492
pen_l1_regression.R, 12.688199999999998, 18.35208
qda.R, 3.6398230000000003, 3.8580780000000003
ctree.R, 2.650879, 1.8440919999999998
cforest.R, 2.7152279999999998, 5.033628
glm_logistic.R, 0.587736, 0.608622
knn.R, 0.21513699999999997, 0.20376
lm.R, 1.067345, 1.199016
svm.R, 0.365118, 0.44941200000000003
R-benchmark-25.R, 9.121566, 17.012262
spectral-norm.r, 0.07142400000000002, 0.068448
k-nucleotide.R, 10.757376, 9.03238
nbody.R, 14.356764, 2.1703799999999998
fasta.R, 1.918176, 0.25848899999999997
rw2d1.R, 0.525986, 0.133175
